"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL284086";"";"None";"569.66";"1";"3.04";"4d";"CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(N4CC(C)NC(C)C4)cc(=O)oc3c2C)OC1(C)C";"IC50";"'='";"0.16";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL687256";"Inhibitory activity against Escherichia coli DNA gyrase";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1134088";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"0.16"
"CHEMBL4649698";"";"None";"698.80";"2";"5.34";"7";"COc1cc2c(cc1OCCCC(=O)Nc1cc(C(=O)Nc3ccc4oc(C(=O)N5CCSCC5)cc4c3)n(C)c1)N=C[C@@H]1CCCN1C2=O";"IC50";"";"";"";"";"";"Nd(Insoluble)";"";"";"";"";"";"0";"CHEMBL4612949";"Inhibition of Escherichia coli DNA gyrase using relaxed pNO1 as substrate by gel based fluorescence assay";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL4610120";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";"";""
"CHEMBL4639662";"";"None";"361.42";"0";"0.38";"7a; UIAA-I-133";"NCCn1c(=O)c2cc(F)c(N3CC[C@@H](CN)C3)cc2n(C2CC2)c1=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4623097";"Inhibition of Escherichia coli DNA gyrase assessed as supercoiling activity by fluorescence assay relative to control";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL4622836";"1";"Scientific Literature";"Bioorg Med Chem";"2020";"None";"";"";"";"50.0"
"CHEMBL383497";"";"None";"381.43";"0";"3.50";"34";"NCc1ccc(-c2cc3c(cc2F)c(=O)c2c(=O)[nH]sc2n3C2CC2)cc1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"18.35";"0.35";"3.50";"8.65";"0";"CHEMBL863775";"Inhibitory activity against wild type Escherichia coli gyrase";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1139657";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.1"
"CHEMBL201439";"";"None";"330.41";"0";"1.17";"8b";"CCc1c2s[nH]c(=O)c2c(=O)n2ccc(N3CCNCC3)cc12";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"14.69";"0.29";"3.68";"6.97";"0";"CHEMBL869436";"Inhibition of DNA gyrase supercoiling in Escherichia coli ATCC 25922";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1148591";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"14.0"
"CHEMBL3658924";"";"None";"493.50";"0";"2.47";"BDBM159853";"C[C@@H]1CN2c3c(cc4c(NCc5ccccc5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1";"IC50";"'='";"1700.0";"nM";"5.77";"";"302776";"UO_0000065";"11.69";"0.22";"3.30";"4.59";"0";"CHEMBL3706109";"Fluorescence Polarisation Assay: In a black, 384-well polystyrene assay plate, 30 microliters/well of 5 nM Escherichia coli DNA gyrase A/B tetramer and 130 micrograms/ml of topologically relaxed plasmid containing the triplex-forming sequence TTCTTCTTCTTCTTCTTCTTCTTCTTC in an assay buffer consisting of 35 mM Tris-HCl (pH 7.5), 24 mM KCl, 4 mM MgCl2, 2 mM dithiothreitol, 1.8 mM spermidine, 5% (v/v) glycerol, 200 nM bovine serum albumin, 0.8% dimethylsulfoxide, and 0.3 mM ATP may be incubated at ambient temperature for (typically 30 minutes) in the absence or presence of 5-10 different concentrations of test compound. The supercoiling reactions may be quenched by the addition of 10 microliters/well of 40 nM oligodeoxynucleotide probe in 3x triplex-forming buffer consisting of 150 mM NaCl, and 150 mM sodium acetate at pH 3.5. The oligodeoxynucleotide probe may be 5x-BODIPY-FL-labeled TTCTTCTTC. After 60 minutes, the fluorescence anisotropy of the BODIPY-FL may be measured in a Tecan Ultra plate reader, using 485 nM.";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL3638965";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"1700.0"
"CHEMBL3658940";"";"None";"457.46";"0";"1.46";"BDBM159869";"C[C@@H]1CN2c3c(cc4c(N5CCCC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1";"IC50";"'='";"1500.0";"nM";"5.82";"";"302792";"UO_0000065";"12.73";"0.24";"4.36";"4.98";"0";"CHEMBL3706109";"Fluorescence Polarisation Assay: In a black, 384-well polystyrene assay plate, 30 microliters/well of 5 nM Escherichia coli DNA gyrase A/B tetramer and 130 micrograms/ml of topologically relaxed plasmid containing the triplex-forming sequence TTCTTCTTCTTCTTCTTCTTCTTCTTC in an assay buffer consisting of 35 mM Tris-HCl (pH 7.5), 24 mM KCl, 4 mM MgCl2, 2 mM dithiothreitol, 1.8 mM spermidine, 5% (v/v) glycerol, 200 nM bovine serum albumin, 0.8% dimethylsulfoxide, and 0.3 mM ATP may be incubated at ambient temperature for (typically 30 minutes) in the absence or presence of 5-10 different concentrations of test compound. The supercoiling reactions may be quenched by the addition of 10 microliters/well of 40 nM oligodeoxynucleotide probe in 3x triplex-forming buffer consisting of 150 mM NaCl, and 150 mM sodium acetate at pH 3.5. The oligodeoxynucleotide probe may be 5x-BODIPY-FL-labeled TTCTTCTTC. After 60 minutes, the fluorescence anisotropy of the BODIPY-FL may be measured in a Tecan Ultra plate reader, using 485 nM.";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL3638965";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"1500.0"
"CHEMBL3658943";"";"None";"511.47";"1";"1.00";"BDBM159872";"CC(=O)Nc1ccn(-c2noc3c(F)c4c(cc23)CC2(C(=O)NC(=O)NC2=O)[C@H]2[C@H](C)O[C@H](C)CN42)n1";"IC50";"'='";"3100.0";"nM";"5.51";"";"302795";"UO_0000065";"10.77";"0.20";"4.51";"3.43";"0";"CHEMBL3706109";"Fluorescence Polarisation Assay: In a black, 384-well polystyrene assay plate, 30 microliters/well of 5 nM Escherichia coli DNA gyrase A/B tetramer and 130 micrograms/ml of topologically relaxed plasmid containing the triplex-forming sequence TTCTTCTTCTTCTTCTTCTTCTTCTTC in an assay buffer consisting of 35 mM Tris-HCl (pH 7.5), 24 mM KCl, 4 mM MgCl2, 2 mM dithiothreitol, 1.8 mM spermidine, 5% (v/v) glycerol, 200 nM bovine serum albumin, 0.8% dimethylsulfoxide, and 0.3 mM ATP may be incubated at ambient temperature for (typically 30 minutes) in the absence or presence of 5-10 different concentrations of test compound. The supercoiling reactions may be quenched by the addition of 10 microliters/well of 40 nM oligodeoxynucleotide probe in 3x triplex-forming buffer consisting of 150 mM NaCl, and 150 mM sodium acetate at pH 3.5. The oligodeoxynucleotide probe may be 5x-BODIPY-FL-labeled TTCTTCTTC. After 60 minutes, the fluorescence anisotropy of the BODIPY-FL may be measured in a Tecan Ultra plate reader, using 485 nM.";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL3638965";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"3100.0"
"CHEMBL3658957";"";"None";"482.88";"0";"1.83";"BDBM159887";"C[C@@H]1CN2c3c(cc4c(-c5ccncn5)noc4c3Cl)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1";"IC50";"'='";"500.0";"nM";"6.30";"";"302809";"UO_0000065";"13.05";"0.25";"4.47";"4.52";"0";"CHEMBL3706109";"Fluorescence Polarisation Assay: In a black, 384-well polystyrene assay plate, 30 microliters/well of 5 nM Escherichia coli DNA gyrase A/B tetramer and 130 micrograms/ml of topologically relaxed plasmid containing the triplex-forming sequence TTCTTCTTCTTCTTCTTCTTCTTCTTC in an assay buffer consisting of 35 mM Tris-HCl (pH 7.5), 24 mM KCl, 4 mM MgCl2, 2 mM dithiothreitol, 1.8 mM spermidine, 5% (v/v) glycerol, 200 nM bovine serum albumin, 0.8% dimethylsulfoxide, and 0.3 mM ATP may be incubated at ambient temperature for (typically 30 minutes) in the absence or presence of 5-10 different concentrations of test compound. The supercoiling reactions may be quenched by the addition of 10 microliters/well of 40 nM oligodeoxynucleotide probe in 3x triplex-forming buffer consisting of 150 mM NaCl, and 150 mM sodium acetate at pH 3.5. The oligodeoxynucleotide probe may be 5x-BODIPY-FL-labeled TTCTTCTTC. After 60 minutes, the fluorescence anisotropy of the BODIPY-FL may be measured in a Tecan Ultra plate reader, using 485 nM.";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL3638965";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"500.0"
"CHEMBL3663188";"";"None";"485.47";"0";"1.00";"BDBM160016";"C[C@@H]1CN2c3c(cc4c(C(=O)NCC5CC5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1";"IC50";"'='";"2100.0";"nM";"5.68";"";"302929";"UO_0000065";"11.70";"0.22";"4.68";"3.97";"0";"CHEMBL3706109";"Fluorescence Polarisation Assay: In a black, 384-well polystyrene assay plate, 30 microliters/well of 5 nM Escherichia coli DNA gyrase A/B tetramer and 130 micrograms/ml of topologically relaxed plasmid containing the triplex-forming sequence TTCTTCTTCTTCTTCTTCTTCTTCTTC in an assay buffer consisting of 35 mM Tris-HCl (pH 7.5), 24 mM KCl, 4 mM MgCl2, 2 mM dithiothreitol, 1.8 mM spermidine, 5% (v/v) glycerol, 200 nM bovine serum albumin, 0.8% dimethylsulfoxide, and 0.3 mM ATP may be incubated at ambient temperature for (typically 30 minutes) in the absence or presence of 5-10 different concentrations of test compound. The supercoiling reactions may be quenched by the addition of 10 microliters/well of 40 nM oligodeoxynucleotide probe in 3x triplex-forming buffer consisting of 150 mM NaCl, and 150 mM sodium acetate at pH 3.5. The oligodeoxynucleotide probe may be 5x-BODIPY-FL-labeled TTCTTCTTC. After 60 minutes, the fluorescence anisotropy of the BODIPY-FL may be measured in a Tecan Ultra plate reader, using 485 nM.";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL3638965";"37";"BindingDB Patent Bioactivity Data";"";"2015";"None";"";"";"";"2100.0"
