smiles,ic50_value,is_active,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumHeteroatoms,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,Delta_MolWt,ZScore_MolWt,Delta_LogP,ZScore_LogP,Delta_TPSA,ZScore_TPSA,Delta_NumHDonors,ZScore_NumHDonors,Delta_NumHAcceptors,ZScore_NumHAcceptors,Delta_NumRotatableBonds,ZScore_NumRotatableBonds,Delta_NumHeteroatoms,ZScore_NumHeteroatoms,Delta_NumAromaticRings,ZScore_NumAromaticRings,Delta_RingCount,ZScore_RingCount,Delta_FractionCSP3,ZScore_FractionCSP3,Delta_HeavyAtomCount,ZScore_HeavyAtomCount,MN_num_nodes,MN_num_metabolites,MN_num_reactions,MN_num_edges,MN_avg_degree,MN_std_degree,MN_max_degree,MN_density
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,67.6,1,270.24,2.576800000000001,90.9,3,5,1,5,3,3,0.0,20,-168.60502710551805,-1.574612705579027,-0.12540146176185907,-0.08803626185770802,-19.66947725072602,-0.5164333552215872,0.4162633107454017,0.3472453309726138,-1.4878993223620522,-0.6081153585118425,-3.245885769603098,-1.2412128186772131,-4.646660212971927,-1.5037436378055933,0.33107454017424987,0.44993328070068134,-1.2904162633107452,-1.0123234935146619,-0.3315911013037597,-2.1213371689038474,-10.48402710551791,-1.4021036767943342,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
O=C(O)c1cn(-c2ccc(F)cc2F)c2nc(C3=CCNCC3)c(F)cc2c1=O,5.0,1,401.34400000000016,2.8779000000000003,84.22,2,5,3,9,3,4,0.15,29,-37.50102710551789,-0.3502243958340398,0.1756985382381404,0.12334658865239806,-26.349477250726025,-0.6918205690710489,-0.5837366892545983,-0.48695101064299107,-1.4878993223620522,-0.6081153585118425,-1.245885769603098,-0.47642138313080035,-0.646660212971927,-0.2092709895946119,0.33107454017424987,0.44993328070068134,-0.2904162633107452,-0.22782974347666796,-0.1815911013037597,-1.161719814624837,-1.4840271055179102,-0.19846952322490452,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,3.0,1,404.34800000000007,2.0385999999999997,101.44999999999999,2,6,3,10,3,4,0.21052631578947367,29,-34.49702710551799,-0.32216985529771885,-0.6636014617618602,-0.46587169906972903,-9.119477250726035,-0.23943708185155488,-0.5837366892545983,-0.48695101064299107,-0.48789932236205225,-0.1994080290761019,-1.245885769603098,-0.47642138313080035,0.353339787028073,0.11434717245813346,0.33107454017424987,0.44993328070068134,-0.2904162633107452,-0.22782974347666796,-0.12106478551428601,-0.7745057944771665,-1.4840271055179102,-0.19846952322490452,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
Cc1cc(=O)oc2cc(CCc3n[nH]c4cccc(OCc5ccc(C(C)(C)C)cc5)c34)ccc12,0.25,1,466.58100000000024,6.639420000000006,68.12,1,4,6,5,5,5,0.26666666666666666,35,27.735972894482188,0.2590279546879408,3.9372185382381457,2.7640666811491656,-42.44947725072602,-1.1145352611333736,-1.5837366892545983,-1.321147352258596,-2.4878993223620522,-1.016822687947583,1.754114230396902,0.6707657701888189,-4.646660212971927,-1.5037436378055933,2.33107454017425,3.1679512863369603,0.7095837366892548,0.5566640065613259,-0.06492443463709302,-0.41535076129671816,4.51597289448209,0.603953245821382,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN4CCC3C4)c(F)cc2c1=O,2.9,1,375.3750000000001,2.2071000000000005,65.78,1,5,3,8,2,5,0.47368421052631576,27,-63.47002710551794,-0.592750482114913,-0.49510146176185943,-0.34757873888722124,-44.78947725072602,-1.1759732971225563,-1.5837366892545983,-1.321147352258596,-1.4878993223620522,-0.6081153585118425,-1.245885769603098,-0.47642138313080035,-1.646660212971927,-0.5328891516473573,-0.6689254598257501,-0.909075722117458,0.7095837366892548,0.5566640065613259,0.14209310922255608,0.9090334235561845,-3.48402710551791,-0.46594377957366667,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
O=C(O)c1cn(C2CC2)c2nc(N3CC4CCC3CN4)c(F)cc2c1=O,6.3,1,358.3730000000001,1.5093,87.46000000000001,2,6,3,8,2,6,0.5,26,-80.47202710551795,-0.7515332045511793,-1.1929014617618598,-0.8374590214709222,-23.109477250726016,-0.6067525192398727,-0.5837366892545983,-0.48695101064299107,-0.48789932236205225,-0.1994080290761019,-1.245885769603098,-0.47642138313080035,-1.646660212971927,-0.5328891516473573,-0.6689254598257501,-0.909075722117458,1.7095837366892548,1.3411577565993198,0.16840889869624032,1.0773873453595197,-4.48402710551791,-0.5996809077480478,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
Cl.N[C@@H]1C[C@H]2CC[C@@H](C1)N2c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,17.5,1,408.8610000000002,2.4490000000000007,101.44999999999999,2,6,3,9,2,5,0.5263157894736842,28,-29.98402710551784,-0.2800226710632233,-0.2532014617618592,-0.17775638239969285,-9.119477250726035,-0.23943708185155488,-0.5837366892545983,-0.48695101064299107,-0.48789932236205225,-0.1994080290761019,-1.245885769603098,-0.47642138313080035,-0.646660212971927,-0.2092709895946119,-0.6689254598257501,-0.909075722117458,0.7095837366892548,0.5566640065613259,0.1947246881699245,1.2457412671628547,-2.48402710551791,-0.3322066513992856,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
Br.O=C(O)c1cn(C2CC2)c2cc(N3C[C@@H]4CC3CN4)c(F)cc2c1=O,1.9,1,424.27000000000015,2.3021000000000003,74.57,2,5,3,8,2,5,0.4444444444444444,26,-14.575027105517904,-0.13611707348526683,-0.4001014617618597,-0.2808853785469354,-35.99947725072603,-0.9451868285990885,-0.5837366892545983,-0.48695101064299107,-1.4878993223620522,-0.6081153585118425,-1.245885769603098,-0.47642138313080035,-1.646660212971927,-0.5328891516473573,-0.6689254598257501,-0.909075722117458,0.7095837366892548,0.5566640065613259,0.11285334314068474,0.7219735104413677,-4.48402710551791,-0.5996809077480478,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.25,1,612.6320000000002,3.6271200000000023,200.00999999999996,5,11,8,13,3,4,0.3870967741935484,44,173.78697289448212,1.6230072156301305,0.9249185382381424,0.6493255300644949,89.44052274927394,2.348311989556068,2.4162633107454017,2.0156380142038235,4.512100677637948,1.844128618102601,3.754114230396902,1.4355572057352317,3.353339787028073,1.0852016586163695,0.33107454017424987,0.44993328070068134,-0.2904162633107452,-0.22782974347666796,0.05550567288978869,0.35509471310650137,13.51597289448209,1.8075873993908118,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
CCNC(=O)Nc1cc(N2CCC(N)C2)c(C(=O)Nc2cccnc2)cn1,89.0,1,369.429,1.4076999999999997,125.27000000000001,4,6,5,9,2,3,0.3333333333333333,27,-69.41602710551808,-0.6482805413788856,-1.2945014617618602,-0.9087858152664283,14.700522749273986,0.3859706178332022,1.4162633107454017,1.1814416725882186,-0.48789932236205225,-0.1994080290761019,0.754114230396902,0.2883700524156125,-0.646660212971927,-0.2092709895946119,-0.6689254598257501,-0.909075722117458,-1.2904162633107452,-1.0123234935146619,0.0017422320295736315,0.011145840605063989,-3.48402710551791,-0.46594377957366667,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
CCNC(=O)Nc1cc(N2CCCC2)c(C(=O)Nc2cccnc2)cn1,120.0,1,354.414,2.4705000000000004,99.25,3,5,5,8,2,3,0.3333333333333333,26,-84.43102710551807,-0.7885065487533436,-0.23170146176185957,-0.1626626219016284,-11.319477250726024,-0.29719933790976044,0.4162633107454017,0.3472453309726138,-1.4878993223620522,-0.6081153585118425,0.754114230396902,0.2883700524156125,-1.646660212971927,-0.5328891516473573,-0.6689254598257501,-0.909075722117458,-1.2904162633107452,-1.0123234935146619,0.0017422320295736315,0.011145840605063989,-4.48402710551791,-0.5996809077480478,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4nc(N)c(F)cc4F)c3c2C)C1,0.24,1,433.3900000000002,1.79982,113.47999999999999,3,7,4,11,3,4,0.25,31,-5.455027105517843,-0.050944833241839106,-0.90238146176186,-0.6335037051966077,2.910522749273966,0.07641743650308917,0.4162633107454017,0.3472453309726138,0.5121006776379478,0.2092993003596387,-0.24588576960309805,-0.09402566535759393,1.353339787028073,0.4379653345108788,0.33107454017424987,0.44993328070068134,-0.2904162633107452,-0.22782974347666796,-0.08159110130375968,-0.5219749117721637,0.5159728944820898,0.06900473312385766,2275,766,1509,5763,5.066373626373626,13.495998227922811,430,0.0011139783699150453
