Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
Random Forest,0.7820737495436291,0.012844267658251467,0.8442266124084397,0.843448111521506,0.8260869565217391,0.8258064516129032,0.9343065693430657,0.8767123287671232,0.840250260688217
KNN,0.7966484118291348,0.018915851152617805,0.8522131988487439,0.8381072024305969,0.8164251207729468,0.8278145695364238,0.9124087591240876,0.8680555555555556,0.8373826903023984
