Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8309178743961353,0.8355263157894737,0.927007299270073,0.8788927335640139,0.8403545359749739
KNN,0.7971014492753623,0.8145695364238411,0.8978102189781022,0.8541666666666666,0.8207507820646507
