Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
KNN (k=5),0.7799227799227799,0.8031914893617021,0.8830409356725146,0.841225626740947,0.8408758639021797
Logistic Regression,0.6756756756756757,0.6883116883116883,0.9298245614035088,0.7910447761194029,0.6671318447634236
